,state,month,positiveIncrease,totalTestResultsIncrease,change,population,per_capita
158,MI,8,23563,900936,0.030752405949256344,9995915,0.002357262941911771
159,MI,9,30168,967325,0.28031235411450156,9995915,0.003018032866425935
161,MN,4,14400,106138,5.9397590361445785,5611179,0.002566305583906698
162,MN,5,13906,269702,-0.034305555555555554,5611179,0.002478267045125454
163,MN,6,12699,359904,-0.08679706601466992,5611179,0.002263160736807719
164,MN,7,20553,442202,0.6184738955823293,5611179,0.0036628665740301635
165,MN,8,21226,504963,0.032744611492239575,5611179,0.003782805716944692
166,MN,9,30994,642565,0.4601903326109488,5611179,0.0055236163380280685
168,MO,4,5631,88998,0.2026911576249466,6126452,0.0009191290489177096
169,MO,5,5493,135257,-0.024507192328183273,6126452,0.0008966037765414631
170,MO,6,13016,362994,1.3695612597851812,6126452,0.0021245575742697403
171,MO,7,36444,460744,1.799938537185003,6126452,0.0059486306266661355
172,MO,8,38809,401343,0.06489408407419603,6126452,0.006334661562679345
173,MO,9,44600,711061,0.1492179649050478,6126452,0.007279906869424587
175,MS,4,7396,67448,1.400519311911717,2986530,0.0024764526055321727
176,MS,5,9033,108727,0.22133585722011898,2986530,0.0030245803658426333
177,MS,6,18026,136160,0.9955717923170597,2986530,0.006035767261671572
178,MS,7,33388,160829,0.8522134694330412,2986530,0.011179529420431069
179,MS,8,19088,114764,-0.4282975919492033,2986530,0.00639136389053517
180,MS,9,16799,185666,-0.11991827326068734,2986530,0.005624922569001483
182,MT,4,63,15315,-0.8401015228426396,1062305,5.930500185916474e-05
183,MT,5,139,34358,1.2063492063492063,1062305,0.00013084754378450635
184,MT,6,1351,62489,8.719424460431656,1062305,0.0012717628176465328
185,MT,7,3589,78465,1.6565507031828275,1062305,0.0033785024075006706
186,MT,8,3566,86009,-0.006408470325996099,1062305,0.0033568513750758962
187,MT,9,11103,128709,2.113572630398205,1062305,0.010451800565750891
189,NC,4,11483,154229,1.2961407718456308,10383620,0.001105876370668418
190,NC,5,27612,407862,1.404598101541409,10383620,0.002659188221448782
191,NC,6,45365,627716,0.6429450963349268,10383620,0.004368900248660872
192,NC,7,52686,622556,0.16137991843932548,10383620,0.005073953014459312
193,NC,8,43611,757417,-0.1722468967088031,10383620,0.0041999803536724185
194,NC,9,50626,832416,0.1608539130036,10383620,0.004875563628098871
196,ND,4,1366,45340,3.0176470588235293,760077,0.001797186337699996
197,ND,5,1369,72545,0.0021961932650073207,760077,0.001801133306230816
198,ND,6,1409,100970,0.029218407596785977,760077,0.0018537595533084149
199,ND,7,3822,143625,1.7125621007806955,760077,0.0050284379082645575
200,ND,8,7494,153985,0.9607535321821036,760077,0.00985952738998812
201,ND,9,13025,175999,0.7380571123565519,760077,0.017136421704643082
203,NE,4,8204,48601,8.572928821470246,1929268,0.004252390025647033
204,NE,5,7558,103377,-0.0787420770355924,1929268,0.00391754800266215
205,NE,6,4766,107992,-0.3694098967980947,1929268,0.0024703669992971427
206,NE,7,8261,134450,0.7333193453629878,1929268,0.004281934910028052
207,NE,8,8675,131712,0.050114998184239194,1929268,0.004496524070269139
208,NE,9,15208,205883,0.7530835734870317,1929268,0.007882782485377875
210,NH,4,2279,29964,1.2497532082922014,1356458,0.0016801109949589298
211,NH,5,2000,72435,-0.12242211496270294,1356458,0.0014744282535839664
212,NH,6,769,70504,-0.6155,1356458,0.0005669176635030351
213,NH,7,853,90277,0.10923276983094929,1356458,0.0006288436501535617
214,NH,8,793,101889,-0.07033997655334115,1356458,0.0005846108025460427
215,NH,9,1635,136060,1.0617906683480454,1356458,0.0012053450973048927
217,NJ,4,74001,312043,0.07644081110173682,8908520,0.008306767005069304
218,NJ,5,24636,646379,-0.6670855799245956,8908520,0.002765442520194151
219,NJ,6,9977,624558,-0.5950235427829194,8908520,0.0011199391144657025
220,NJ,7,12510,709871,0.2538839330460058,8908520,0.0014042736616183158
221,NJ,8,11103,761428,-0.11247002398081535,8908520,0.0012463349692204766
222,NJ,9,21697,849539,0.9541565342700171,8908520,0.002435533623991415
224,NM,4,4096,86751,1.9383070301291248,2095428,0.001954731921115877
225,NM,5,4220,144064,0.0302734375,2095428,0.0020139083757590333
226,NM,6,5791,166341,0.37227488151658766,2095428,0.002763635877729991
227,NM,7,7646,229036,0.32032464168537383,2095428,0.0036488965500126942
228,NM,8,3682,167577,-0.5184410149097567,2095428,0.0017571589193234032
229,NM,9,7448,192410,1.0228136882129277,2095428,0.0035544051143728155
231,NV,4,3411,61940,0.1168958742632613,3034392,0.001124113166657439
232,NV,5,4674,159826,0.3702726473175022,3034392,0.0015403415247601496
233,NV,6,18446,229959,2.946512623020967,3034392,0.006078977271229294
234,NV,7,30130,253016,0.6334164588528678,3034392,0.009929501527818423
235,NV,8,14065,182766,-0.5331895121141719,3034392,0.004635195452663993
236,NV,9,13500,206760,-0.04017063633131888,3034392,0.004448996701810445
238,NY,4,140843,799614,-0.3016892176646454,19542209,0.007207117680503776
239,NY,5,40273,1635842,-0.7140574966452007,19542209,0.002060821271535884
240,NY,6,19851,1850328,-0.5070891167779902,19542209,0.001015801233115458
241,NY,7,20992,2116909,0.05747821268449952,19542209,0.0010741876724376452
242,NY,8,20781,2479815,-0.010051448170731708,19542209,0.0010633905307224991
243,NY,9,32992,2960529,0.5876040614022424,19542209,0.0016882431254317258
245,OH,4,19077,177361,1.6251548094124122,11689442,0.0016319855130809495
246,OH,5,14791,335060,-0.2246684489175447,11689442,0.0012653298592011492
247,OH,6,26847,533992,0.8150902575890744,11689442,0.002296687900072561
248,OH,7,38562,734431,0.4363616046485641,11689442,0.003298874317525165
249,OH,8,31927,826300,-0.1720605777708625,11689442,0.0027312680964583255
250,OH,9,35181,1046815,0.10192000501143234,11689442,0.0030096389545369233
252,OK,4,2778,83914,0.2743119266055046,3943079,0.0007045255750645625
253,OK,5,3269,138635,0.1767458603311735,3943079,0.0008290475539546634
254,OK,6,13507,190476,3.1318446007953504,3943079,0.0034254956596101675
255,OK,7,25159,301948,0.8626638039535056,3943079,0.0063805467757556975
256,OK,8,23326,247157,-0.07285663182161453,3943079,0.005915681628493875
257,OK,9,32392,395270,0.38866500900282946,3943079,0.00821490008189032
259,OR,4,1832,84430,0.1788931788931789,4190713,0.0004371571138371919
260,OR,5,2119,135967,0.1566593886462882,4190713,0.0005056418800333022
261,OR,6,6903,219017,2.2576687116564416,4190713,0.0016472137318876286
262,OR,7,9862,243242,0.42865420831522527,4190713,0.002353298830055888
263,OR,8,7037,244494,-0.2864530521192456,4190713,0.0016791891976377289
264,OR,9,8443,261300,0.19980105158448203,4190713,0.00201469296513505
266,PA,4,34291,205128,0.35548264684955333,12807060,0.0026775075622352046
267,PA,5,19162,341685,-0.4411944825172786,12807060,0.0014962059988787434
268,PA,6,17873,492200,-0.0672685523431792,12807060,0.00139555838732699
269,PA,7,26279,716305,0.47031835729871874,12807060,0.002051915115569069
270,PA,8,22113,729859,-0.15852962441493207,12807060,0.0017266257829665825
271,PA,9,30859,882594,0.3955139510695066,12807060,0.002409530368406176
273,RI,4,8835,83854,1.4699468828627342,1057315,0.008356071747776207
274,RI,5,3673,99644,-0.5842671194114318,1057315,0.003473893778107754
275,RI,6,1484,89639,-0.5959705962428532,1057315,0.0014035552318845377
276,RI,7,2747,122984,0.851078167115903,1057315,0.002598090446082766
277,RI,8,2795,214985,0.017473607571896616,1057315,0.0026434884589739104
278,RI,9,4034,276541,0.4432915921288014,1057315,0.003815324666726567
280,SC,4,4636,68663,0.3096045197740113,5084127,0.000911857630621737
281,SC,5,10606,145801,1.2877480586712684,5084127,0.0020861005242394613
282,SC,6,41594,269145,2.9217424099566283,5084127,0.00818114889734265
283,SC,7,44452,334303,0.06871183343751502,5084127,0.00874329063770437
284,SC,8,27839,236689,-0.3737289660757671,5084127,0.005475669667575181
285,SC,9,27129,438092,-0.025503789647616654,5084127,0.005336019340193508
287,SD,4,2804,17177,1.86414708886619,882235,0.003178291498296939
288,SD,5,2106,38846,-0.24893009985734665,882235,0.002387119078250126
289,SD,6,1674,26845,-0.20512820512820512,882235,0.0018974536263013822
290,SD,7,2452,33850,0.4647550776583035,882235,0.0027793048337461106
291,SD,8,6777,39125,1.7638662316476346,882235,0.007681626777445919
292,SD,9,13414,57182,0.9793418916924893,882235,0.015204565676945486
294,TN,4,10876,223486,0.8780866862372647,6770010,0.001606496888483178
295,TN,5,13733,312903,0.2626884884148584,6770010,0.0020285051277619975
296,TN,6,36356,456668,1.647345809364305,6770010,0.005370154549254728
297,TN,7,63670,740155,0.7512927714820112,6770010,0.009404712843851044
298,TN,8,43816,680808,-0.31182660593686196,6770010,0.006472073157942159
299,TN,9,46264,750970,0.055870001825817056,6770010,0.0068336678970932095
301,TX,4,29227,464074,1.0015751266949733,28701845,0.0010182969073939323
302,TX,5,44003,939181,0.5055599274643309,28701845,0.0015331070180331613
303,TX,6,183720,1819451,3.175169874781265,28701845,0.006400982236507792
304,TX,7,249019,1468553,0.3554267363379055,28701845,0.008676062462186664
305,TX,8,142811,1028149,-0.42650560800581483,28701845,0.0049756731666553144
306,TX,9,141678,1430312,-0.007933562540700646,28701845,0.004936198352405568
308,UT,4,4337,124437,0.8025768911055694,3161105,0.0013719885925965762
309,UT,5,7564,138945,0.7440627161632465,3161105,0.0023928341513489745
310,UT,6,16165,199201,1.1370967741935485,3161105,0.0051137181460280505
311,UT,7,15498,210502,-0.04126198577172904,3161105,0.004902715980646008
312,UT,8,12462,182017,-0.19589624467673247,3161105,0.003942292331320851
313,UT,9,30525,299544,1.4494463168030813,3161105,0.009656433430714892
315,VA,4,21642,144848,2.524181729360039,8517685,0.0025408312235073263
316,VA,5,26693,292556,0.2333887810738379,8517685,0.0031338327256760492
317,VA,6,17937,346787,-0.32802607425167646,8517685,0.002105853879311104
318,VA,7,32395,475535,0.8060433740313319,8517685,0.003803263445407995
319,VA,8,29733,457121,-0.08217317487266554,8517685,0.0034907372132216676
320,VA,9,27039,531211,-0.09060639693270103,8517685,0.0031744540916927547
322,VT,4,169,13826,-0.7764550264550265,626299,0.00026983916627681026
323,VT,5,195,33259,0.15384615384615385,626299,0.00031135288416555033
324,VT,6,180,36771,-0.07692307692307693,626299,0.00028740266230666185
325,VT,7,196,45287,0.08888888888888889,626299,0.0003129495656228096
326,VT,8,194,92476,-0.01020408163265306,626299,0.0003097562027082911
327,VT,9,199,103487,0.02577319587628866,626299,0.0003177396099945873
329,WA,4,7666,143216,-0.22377480761441879,7535591,0.0010173057428408735
330,WA,5,8873,207485,0.15744847378032872,7535591,0.0011774789794191324
331,WA,6,17735,363073,0.9987602840076637,7535591,0.0023534982193168393
332,WA,7,23010,424166,0.29743445164928106,7535591,0.0030535096716369026
333,WA,8,14340,369826,-0.3767926988265971,7535591,0.0019029695215677178
334,WA,9,15808,469941,0.10237099023709903,7535591,0.0020977783958816237
336,WI,4,8623,113467,1.0419133317546767,5813568,0.0014832543456961371
337,WI,5,12471,347167,0.44624840542734545,5813568,0.0021451542323062188
338,WI,6,16009,408175,0.28369817977708284,5813568,0.0027537305833525987
339,WI,7,27332,566814,0.7072896495721157,5813568,0.004701415722668076
