,state,month,positiveIncrease,covid_change,population,covid_percap,weighted_pax,weighted_percap
227,RI,9,4034,0.4432915921288014,1057315,0.003815324666726567,150.94684979696922,0.00014276431318667495
228,SC,4,4636,0.3096045197740114,5084127,0.000911857630621737,37.79854490759357,7.434618550558154e-06
229,SC,5,10606,1.2877480586712684,5084127,0.0020861005242394613,131.67141701708508,2.5898530272175554e-05
230,SC,6,41594,2.9217424099566283,5084127,0.00818114889734265,499.4384659243938,9.823485249766456e-05
231,SC,7,44452,0.06871183343751497,5084127,0.00874329063770437,987.7720461340957,0.00019428547833956464
232,SC,8,27839,-0.3737289660757671,5084127,0.005475669667575181,694.9074012093863,0.00013668175504061688
233,SC,9,27129,-0.02550378964761668,5084127,0.005336019340193508,757.8297087943162,0.00014905798159532918
234,SD,4,2804,1.86414708886619,882235,0.003178291498296939,6.474209903190708,7.338418792261368e-06
235,SD,5,2106,-0.2489300998573466,882235,0.002387119078250126,31.665440815493437,3.589229719461758e-05
236,SD,6,1674,-0.20512820512820518,882235,0.0018974536263013822,152.31533462425625,0.00017264712307294116
237,SD,7,2452,0.4647550776583034,882235,0.0027793048337461106,271.9756593383982,0.00030828028738193137
238,SD,8,6777,1.7638662316476346,882235,0.007681626777445919,169.53644758161312,0.0001921669935806368
239,SD,9,13414,0.9793418916924892,882235,0.015204565676945486,167.14717870095126,0.0001894587935198119
240,TN,4,10876,0.8780866862372647,6770010,0.001606496888483178,68.10917879873718,1.0060425139510454e-05
241,TN,5,13733,0.26268848841485837,6770010,0.0020285051277619975,253.01396990199677,3.73727616210311e-05
242,TN,6,36356,1.647345809364305,6770010,0.005370154549254728,1502.3875983794758,0.00022191807669109438
243,TN,7,63670,0.7512927714820112,6770010,0.009404712843851044,2448.044988168149,0.0003616013843654808
244,TN,8,43816,-0.31182660593686196,6770010,0.006472073157942159,1357.4260483326589,0.00020050576710117988
245,TN,9,46264,0.05587000182581714,6770010,0.0068336678970932095,1519.565595676513,0.00022445544329720535
246,TX,4,29227,1.0015751266949735,28701845,0.0010182969073939323,383.77810079901207,1.3371199684167065e-05
247,TX,5,44003,0.505559927464331,28701845,0.0015331070180331613,1113.6782713985358,3.880162656437368e-05
248,TX,6,183720,3.1751698747812647,28701845,0.006400982236507792,5110.890598332666,0.00017806836453658872
