,origin_state,dest_state,month,monthly_pax
282,AK,SD,5.0,44.24197043064421
283,AK,SD,6.0,75.51172562913152
284,AK,SD,7.0,413.7714862844149
285,AK,SD,8.0,445.1555819789294
286,AK,SD,9.0,401.07293173665585
287,AK,TN,3.0,669.9044800741684
288,AK,TN,4.0,142.62851034311282
289,AK,TN,5.0,553.083753684558
290,AK,TN,6.0,1154.2877359723288
291,AK,TN,7.0,1560.1261423856963
292,AK,TN,8.0,1550.015732699423
293,AK,TN,9.0,1659.8581249148806
294,AK,TT,3.0,59.70527888695545
295,AK,TT,4.0,5.623777864685177
296,AK,TT,5.0,12.319123973406336
297,AK,TT,6.0,22.05709816190849
298,AK,TT,7.0,28.723281340265743
299,AK,TT,8.0,28.338147506258426
300,AK,TT,9.0,22.93857115347583
301,AK,TX,3.0,3105.799416616798
302,AK,TX,4.0,799.4133733809683
303,AK,TX,5.0,2296.86372555127
304,AK,TX,6.0,4143.722901067759
305,AK,TX,7.0,6181.937611230977
306,AK,TX,8.0,6708.051231231588
307,AK,TX,9.0,7030.011157537441
308,AK,UT,3.0,1201.4066661699844
309,AK,UT,4.0,493.813600975746
310,AK,UT,5.0,999.4558962440661
311,AK,UT,6.0,1906.730502780188
312,AK,UT,7.0,3775.8536046662584
313,AK,UT,8.0,4325.035110526339
314,AK,UT,9.0,4279.111284807404
315,AK,VA,3.0,1324.780499905969
316,AK,VA,4.0,168.22305492212772
317,AK,VA,5.0,440.3701953328388
318,AK,VA,6.0,891.4067497450334
319,AK,VA,7.0,1646.3585320832528
320,AK,VA,8.0,1842.144132763756
321,AK,VA,9.0,1831.4973351529925
322,AK,VI,3.0,4.378906315035327
323,AK,VI,4.0,1.2087155963302751
324,AK,VI,5.0,2.7737003058103977
325,AK,VI,6.0,6.017584097859327
326,AK,VT,3.0,12.622818504517417
327,AK,VT,4.0,2.1144564467938403
328,AK,VT,5.0,6.125794836436068
329,AK,VT,6.0,11.75974871677009
330,AK,VT,7.0,59.805154547869996
331,AK,VT,8.0,68.97617571517138
332,AK,VT,9.0,61.218669736958645
333,AK,WA,3.0,12989.756945949026
334,AK,WA,4.0,3039.2843307515454
335,AK,WA,5.0,7292.722798691651
336,AK,WA,6.0,14347.992870556807
337,AK,WA,7.0,19982.434369204067
338,AK,WA,8.0,21458.92124610457
339,AK,WA,9.0,20168.644384691335
340,AK,WI,3.0,242.03759683479277
341,AK,WI,4.0,53.23403207943073
342,AK,WI,5.0,159.42851467253587
343,AK,WI,6.0,297.3374532480334
344,AK,WI,7.0,704.35816110746
345,AK,WI,8.0,803.6406033592799
346,AK,WI,9.0,712.0012355332606
347,AK,WV,3.0,4.976811112886875
348,AK,WV,4.0,12.083419353950756
349,AK,WV,5.0,28.13851383899693
350,AK,WV,6.0,49.77806680705231
351,AK,WV,7.0,38.58306332999779
352,AK,WV,8.0,35.871530208304776
353,AK,WV,9.0,35.54540646169744
354,AK,WY,3.0,84.00651937786695
355,AK,WY,4.0,8.928087951604542
356,AK,WY,5.0,34.82982271565762
357,AK,WY,6.0,106.24208933273785
358,AK,WY,7.0,102.52790368011794
359,AK,WY,8.0,113.07670656569182
360,AK,WY,9.0,104.39538975419023
361,AL,AK,3.0,259.47366863960724
362,AL,AK,4.0,55.13850240649357
363,AL,AK,5.0,109.90659756467939
364,AL,AK,6.0,224.95490002882707
365,AL,AK,7.0,465.2590240450062
366,AL,AK,8.0,436.51128541605596
367,AL,AK,9.0,368.2296905389379
368,AL,AL,3.0,69.14765761430752
369,AL,AL,7.0,30.990687762510156
370,AL,AL,8.0,34.0583949462068
371,AL,AL,9.0,34.95091729128304
372,AL,AR,3.0,545.2195731113511
373,AL,AR,4.0,30.348677793154586
374,AL,AR,5.0,97.64069988647898
375,AL,AR,6.0,172.01062232036645
376,AL,AR,7.0,324.32031386656246
377,AL,AR,8.0,340.38036689652193
378,AL,AR,9.0,335.2993192369157
379,AL,AZ,3.0,2576.6495269224556
380,AL,AZ,4.0,396.4829043503046
381,AL,AZ,5.0,942.0019198117086
382,AL,AZ,6.0,1791.5151758379868
383,AL,AZ,7.0,2004.1439699978987
384,AL,AZ,8.0,2154.9047348265967
385,AL,AZ,9.0,2390.9512951755055
386,AL,CA,3.0,7192.518958795036
387,AL,CA,4.0,1370.2269485930628
388,AL,CA,5.0,3252.4949568403313
389,AL,CA,6.0,6287.278094566604
390,AL,CA,7.0,7096.40277241508
391,AL,CA,8.0,7665.15749968113
392,AL,CA,9.0,7748.439727903794
393,AL,CO,3.0,4780.64437627743
394,AL,CO,4.0,323.98943939299096
395,AL,CO,5.0,953.2641843760616
396,AL,CO,6.0,2032.7463762309471
397,AL,CO,7.0,3582.0787272474618
398,AL,CO,8.0,4035.066121686425
399,AL,CO,9.0,3982.855151066113
400,AL,CT,3.0,755.7167525408737
401,AL,CT,4.0,68.8866262690167
402,AL,CT,5.0,192.52360099247736
403,AL,CT,6.0,418.589772738506
404,AL,CT,7.0,437.15177581510426
405,AL,CT,8.0,427.6767355482794
406,AL,CT,9.0,355.17148863661635
407,AL,FL,3.0,14131.126584711108
408,AL,FL,4.0,946.6612952443071
409,AL,FL,5.0,2945.0242587885987
410,AL,FL,6.0,6588.314445967096
411,AL,FL,7.0,9861.839540323132
412,AL,FL,8.0,9490.083029356618
413,AL,FL,9.0,10078.077430320256
414,AL,GA,3.0,1968.3342550199777
415,AL,GA,4.0,91.7743703126223
416,AL,GA,5.0,217.7555863280741
417,AL,GA,6.0,390.47004335930353
418,AL,GA,7.0,712.6964660520255
419,AL,GA,8.0,777.1108208243021
420,AL,GA,9.0,820.1927131236724
421,AL,HI,3.0,751.6328088757452
422,AL,HI,4.0,45.43743035319921
423,AL,HI,5.0,98.42169769211846
424,AL,HI,6.0,216.14087195468232
425,AL,HI,7.0,268.39185644572245
426,AL,HI,8.0,166.37756762637636
427,AL,HI,9.0,105.2305759279012
428,AL,IA,3.0,569.7656844330595
429,AL,IA,4.0,26.483786176861347
430,AL,IA,5.0,116.27884354123718
431,AL,IA,6.0,167.23737028190146
432,AL,IA,7.0,335.5562704858959
433,AL,IA,8.0,346.89210050553766
434,AL,IA,9.0,307.55162900856664
435,AL,ID,3.0,228.41548240520086
436,AL,ID,4.0,44.80306277952472
437,AL,ID,5.0,126.13612609985576
438,AL,ID,6.0,249.0608111206195
439,AL,ID,7.0,472.3227615557831
440,AL,ID,8.0,518.6830242970609
441,AL,ID,9.0,498.994214147156
442,AL,IL,3.0,3765.4325479484705
443,AL,IL,4.0,209.94199146332443
444,AL,IL,5.0,522.5115364225574
445,AL,IL,6.0,957.5464721141182
